date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:55:19	23092/23092	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:50:40%20GMT	https://wphix.com/template/pabna/pabna/login.html	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/login.html	(from )
07:55:19	31/31	---M--	200	added ('OK')	text/plain	date:Wed,%2024%20Nov%202021%2016:00:05%20GMT	https://wphix.com/robots.txt		(from )
07:55:20	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/img/favicon.ico	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/img/favicon.ico	(from https://wphix.com/template/pabna/pabna/login.html)
07:55:20	110143/110143	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/bootstrap.min.css	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/css/bootstrap.min.css	(from https://wphix.com/template/pabna/pabna/login.html)
07:55:20	77368/77368	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/animate.css	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/css/animate.css	(from https://wphix.com/template/pabna/pabna/login.html)
07:55:20	16819/16819	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/jquery-ui.min.css	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/css/jquery-ui.min.css	(from https://wphix.com/template/pabna/pabna/login.html)
07:55:20	2855/2855	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/meanmenu.min.css	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/css/meanmenu.min.css	(from https://wphix.com/template/pabna/pabna/login.html)
07:55:21	7642/7642	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/owl.carousel.css	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/css/owl.carousel.css	(from https://wphix.com/template/pabna/pabna/login.html)
07:55:21	11/11	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2000:55:20%20GMT	https://wphix.com/template/pabna/pabna/lib/css/nivo-slider.css	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/lib/css/nivo-slider.html	(from https://wphix.com/template/pabna/pabna/login.html)
07:55:21	27466/27466	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/font-awesome.min.css	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/css/font-awesome.min.css	(from https://wphix.com/template/pabna/pabna/login.html)
07:55:21	67027/67027	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:40%20GMT	https://wphix.com/template/pabna/pabna/style.css	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/style.css	(from https://wphix.com/template/pabna/pabna/login.html)
07:55:21	5146/5146	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/css/responsive.css	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/css/responsive.css	(from https://wphix.com/template/pabna/pabna/login.html)
07:55:22	15514/15514	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2024%20Nov%202021%2011:50:40%20GMT	https://wphix.com/template/pabna/pabna/js/vendor/modernizr-2.8.3.min.js	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/js/vendor/modernizr-2.8.3.min.js	(from https://wphix.com/template/pabna/pabna/login.html)
07:55:22	85019/85019	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:50:40%20GMT	https://wphix.com/template/pabna/pabna/index.html	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/index.html	(from https://wphix.com/template/pabna/pabna/login.html)
07:55:22	2563/2563	---M--	200	added ('OK')	image/png	date:Wed,%2024%20Nov%202021%2011:50:39%20GMT	https://wphix.com/template/pabna/pabna/img/logo-white-text.png	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/img/logo-white-text.png	(from https://wphix.com/template/pabna/pabna/login.html)
07:55:22	72643/72643	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2011:50:40%20GMT	https://wphix.com/template/pabna/pabna/index-2.html	C:/Users/THU/Desktop/login/wphix.com/template/pabna/pabna/index-2.html	(from https://wphix.com/template/pabna/pabna/login.html)
